Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
[Mock],"UK-based producer of chef-quality, whole-cut, plant-based meat products for food service operators. ",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Mutton/lamb,Chicken",,Europe,United Kingdom,,London,https://mock.co.uk/,2016,Harpreet Gill
1.5 Degree,"1.5 degree is at the forefront of the plant-based dairy tech, committed to making sustainable food accessible, tasty, and aligned with customer needs. we are driven by the global goal of controlling warming to 1.5°C.",Plant-based,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Oat,Soy",Asia Pacific,India ,,New Delhi,https://1.5degree.co/,2022,"Suresh, vedansh and Anagh"
1Ness Foods,"1Ness is a name synonymous with taste-identical plant based dairy alternatives- products that taste the same, behave the same, and feel the same. You can’t give a lime to replace an Orange- It has got to be indistinguishable to be replaceable. Similarly, we can all talk about Plant Based alternatives, but it can work if and only, it is identical, and we are on a mission to do just that!",Plant-based,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization","Milk,Cheese,Other",,"Cashew,Almond,Pea,Oat",Asia Pacific,India ,,Mumbai,www.1ness.in,2019,"Kajal Joshi, Dilip Joshi"
3D Bio-Tissues,"U.K.-based research entity aimed at improving tissue engineering using in-house engineering platform ""Tissue Templating,"" producing human skin, human cornea, and lab-grown meat.","Cultivated,Traditional fermentation",B2B,Ingredients and inputs,Diversified,"Bioprocess design,End product formulation and manufacturing,Scaffolding and structure,Cell culture media",Whole muscle meat/seafood,Pork,,Europe,United Kingdom,,Newcastle,https://www.3dbiotissues.com/,2019,Che Connon and Ricardo Gouveia
4U Free From,"Spain-based company producing a variety of vegan ice creams and sorbets, all free from six major allergens.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,,Europe,Spain,,Alicante,https://4ufreefrom.com/en/,2019,
5YES!,Russia-based producer of plant-based milks and desserts.,Plant-based,B2B,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Coconut,Almond,Oat,Hazelnut",Europe,Russia,,,https://www.5yes.ru/,2021,
8th Continent,Produces soy milk,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Soy,United States and Canada,United States,California,Santa Ana,http://www.8thcontinent.com/,2001,
15/16 Group,"1516 Group partners as a full service agency supporting CPG programs and manufacturers looking to effectively commercialize, streamline, and accelerate their business",Plant-based,B2B,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,New York ,New York,https://www.1516group.com/,1900,Ichitaro Kanie
21st.BIO,"Established as a fully integrated end-to-end partner, 21st.BIO supports its customers from technical assessment, strain development and optimization, production processes and upscaling, tech transfer to large scale manufacturing and regulatory services. ",Precision fermentation,B2B,"Eggs,Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing",Specialized (focused on alternative proteins),"Host strain development,Bioprocess design",Ingredients,Other,,Europe,Denmark,,Søborg,https://21st.bio/,2020,"Thomas Schmidt, CEO, and Per Falholt, CSO"
"50/50 Foods, Inc","LA-based manufacturer of 50% grass-fed beef, and 50% veggie burger, the first brand to receive an exemption from the USDA to market its blended burger patties. ",Blended,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,United States and Canada,United States,California,Los Angeles,https://5050foods.com/,2020,"Andrew Arentowicz, Stephen Theiss"
